Sr. No.,Work Category,Work,State,IDA,Work Description,Hon'ble Members of Parliament,Constituency,Image,Completion Date,Amount Disbursed ( ₹ ),work_id,work_category,completed_disbursed_amount,completion_date,state,constituency,mp_name,description,has_image
17405,Normal/Others,WS/MP18222/2025-2026/170032-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),anup prajapati ke makan ke pass,BABU SINGH KUSHWAHA,JAUNPUR,Images,30-Jul-2026,10245.59,WS/MP18222/2025-2026/170032,Normal/Others,10245.59,2026-07-30,UTTAR PRADESH,JAUNPUR,BABU SINGH KUSHWAHA,anup prajapati ke makan ke pass,True
17406,Normal/Others,WS/MP18222/2025-2026/170030-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),sarvesh yadav,BABU SINGH KUSHWAHA,JAUNPUR,Images,30-Jul-2026,10245.59,WS/MP18222/2025-2026/170030,Normal/Others,10245.59,2026-07-30,UTTAR PRADESH,JAUNPUR,BABU SINGH KUSHWAHA,sarvesh yadav,True
17407,Normal/Others,WS/MP18222/2025-2026/170028-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),ratan mali ke makan ke pass,BABU SINGH KUSHWAHA,JAUNPUR,Images,30-Jul-2026,10245.59,WS/MP18222/2025-2026/170028,Normal/Others,10245.59,2026-07-30,UTTAR PRADESH,JAUNPUR,BABU SINGH KUSHWAHA,ratan mali ke makan ke pass,True
17408,Normal/Others,WS/MP18222/2025-2026/170027-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),jagdish maurya ke avas ke pass,BABU SINGH KUSHWAHA,JAUNPUR,Images,30-Jul-2026,10245.59,WS/MP18222/2025-2026/170027,Normal/Others,10245.59,2026-07-30,UTTAR PRADESH,JAUNPUR,BABU SINGH KUSHWAHA,jagdish maurya ke avas ke pass,True
17409,Normal/Others,"WS/MP568/2025-2026/217893-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,BEMETARA(Collector Bemetara_IDA),CC ROAD NIRMAN,Vijay Baghel,DURG,Images,04-May-2026,276719.14,WS/MP568/2025-2026/217893,Normal/Others,276719.14,2026-05-04,CHHATTISGARH,DURG,VIJAY BAGHEL,CC ROAD NIRMAN,True
17410,Normal/Others,"WS/MP600/2024-2025/158169-Construction of roads, link roads, pathways or any other road with or without drainage system",Jammu And Kashmir,KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA),"Construction of lane and drain near Govt. Middle School To Raj Kumar Atta Chaki , Ward no. 07",Jitendra Singh,UDHAMPUR,Images,11-Oct-2025,73040.01,WS/MP600/2024-2025/158169,Normal/Others,73040.01,2025-10-11,JAMMU AND KASHMIR,UDHAMPUR,JITENDRA SINGH,"Construction of lane and drain near Govt. Middle School To Raj Kumar Atta Chaki , Ward no. 07",True
17411,Normal/Others,"WS/MP642/2025-2026/198158-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,SATNA(DISTRICT COLLECTOR SATNA_IDA),Gram Panchayat PCC Road Nirman hetu,Ganesh Singh,SATNA,Images,13-May-2026,256280.75,WS/MP642/2025-2026/198158,Normal/Others,256280.75,2026-05-13,MADHYA PRADESH,SATNA,GANESH SINGH,Gram Panchayat PCC Road Nirman hetu,True
17412,Normal/Others,WS/MP761/2025-2026/159282-Construction of community centers and community halls,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Construction of Community hall in Guradikapu wada,Arvind Dharmapuri,NIZAMABAD,,29-Sep-2025,230652.68,WS/MP761/2025-2026/159282,Normal/Others,230652.68,2025-09-29,TELANGANA,NIZAMABAD,ARVIND DHARMAPURI,Construction of Community hall in Guradikapu wada,False
17413,Normal/Others,"WS/MP18014/2024-2025/167464-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA),"Construction of Internal CC Road in Thoguruvaripalem Village of China Annaluru Grama Panchayat, Kaligiri Mandal",PRABHAKAR REDDY VEMIREDDY,NELLORE(SC),Images,07-Oct-2025,256244.87,WS/MP18014/2024-2025/167464,Normal/Others,256244.87,2025-10-07,ANDHRA PRADESH,NELLORE(SC),PRABHAKAR REDDY VEMIREDDY,"Construction of Internal CC Road in Thoguruvaripalem Village of China Annaluru Grama Panchayat, Kaligiri Mandal",True
17414,Normal/Others,"WS/MP18069/2025-2026/212339-Construction of roads, link roads, pathways or any other road with or without drainage system",Himachal Pradesh,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),C.O Interlock tile work from main road towards Chaudhary basti ward no 6,RAJEEV BHARDWAJ,KANGRA,,14-Oct-2025,153768.45,WS/MP18069/2025-2026/212339,Normal/Others,153768.45,2025-10-14,HIMACHAL PRADESH,KANGRA,RAJEEV BHARDWAJ,C.O Interlock tile work from main road towards Chaudhary basti ward no 6,False
17415,Normal/Others,WS/MP18047/2025-2026/207469-Providing CCTV camera system for security of public areas,Chandigarh,CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA),"Installation of CCTV cameras at Maloya Colony, Village Maloya, Gwala Colony and New Flats Complex, Ward No. 28, Chandigarh.",MANISH TEWARI,CHANDIGARH,Images,01-Apr-2026,376641.98,WS/MP18047/2025-2026/207469,Normal/Others,376641.98,2026-04-01,CHANDIGARH,CHANDIGARH,MANISH TEWARI,"Installation of CCTV cameras at Maloya Colony, Village Maloya, Gwala Colony and New Flats Complex, Ward No. 28, Chandigarh.",True
17416,Normal/Others,WS/MP18225/2025-2026/150563-Installing hand pumps,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Sajjan Lal Son of Badri Pasi Add.-  Saraychatta Babaganj ke Ghar ke samne hundpump,PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,12-Feb-2026,26028.39,WS/MP18225/2025-2026/150563,Normal/Others,26028.39,2026-02-12,UTTAR PRADESH,KAUSHAMBI(SC),PUSHPENDRA SAROJ,Sajjan Lal Son of Badri Pasi Add.-  Saraychatta Babaganj ke Ghar ke samne hundpump,True
17417,Normal/Others,WS/MP18225/2025-2026/150819-Installing hand pumps,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Santosh Kumar S o Shyam Lal Add.- Shakardaha ke ghar ke samne hundpump,PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,10-Feb-2026,26028.39,WS/MP18225/2025-2026/150819,Normal/Others,26028.39,2026-02-10,UTTAR PRADESH,KAUSHAMBI(SC),PUSHPENDRA SAROJ,Santosh Kumar S o Shyam Lal Add.- Shakardaha ke ghar ke samne hundpump,True
17418,Normal/Others,WS/MP18225/2025-2026/150817-Installing hand pumps,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Ravinaresh Gautam S o Ram Adhar Address Mali ka purwa Punwasi ke ghar ke samne hundpump ka karya,PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,09-Feb-2026,26028.39,WS/MP18225/2025-2026/150817,Normal/Others,26028.39,2026-02-09,UTTAR PRADESH,KAUSHAMBI(SC),PUSHPENDRA SAROJ,Ravinaresh Gautam S o Ram Adhar Address Mali ka purwa Punwasi ke ghar ke samne hundpump ka karya,True
17419,Normal/Others,WS/MP18225/2025-2026/150820-Installing hand pumps,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Sanjay Saroj S o Rapti Lal Add. Umari kotilya ke ghar ke samne hundpump,PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,05-Feb-2026,26028.39,WS/MP18225/2025-2026/150820,Normal/Others,26028.39,2026-02-05,UTTAR PRADESH,KAUSHAMBI(SC),PUSHPENDRA SAROJ,Sanjay Saroj S o Rapti Lal Add. Umari kotilya ke ghar ke samne hundpump,True
17420,Normal/Others,"WS/MP468/2025-2026/186336-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA),200 cc-apex and nali constructon from Gatoriya Ghat towards main road in village Bahadurpur Block Madawra.,Anurag Sharma,JHANSI,Images,19-Dec-2025,488931.39,WS/MP468/2025-2026/186336,Normal/Others,488931.39,2025-12-19,UTTAR PRADESH,JHANSI,ANURAG SHARMA,200 cc-apex and nali constructon from Gatoriya Ghat towards main road in village Bahadurpur Block Madawra.,True
17421,Normal/Others,WS/MP18225/2025-2026/150821-Installing hand pumps,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Sher Badhaur S o Chhedi Pasi Add.- Malaka Rajjakpur ke ghar ke samne hundpump,PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,10-Feb-2026,26028.39,WS/MP18225/2025-2026/150821,Normal/Others,26028.39,2026-02-10,UTTAR PRADESH,KAUSHAMBI(SC),PUSHPENDRA SAROJ,Sher Badhaur S o Chhedi Pasi Add.- Malaka Rajjakpur ke ghar ke samne hundpump,True
17422,Normal/Others,"WS/MP18204/2025-2026/185260-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA),Mohalla Hamjapura me Gullabir Mandir ke Pas Swami Vivekanand Vatika me Interlocking ka Nirman Karya,ANAND KUMAR,BAHRAICH(SC),Images,15-Jan-2026,48564.69,WS/MP18204/2025-2026/185260,Normal/Others,48564.69,2026-01-15,UTTAR PRADESH,BAHRAICH(SC),ANAND KUMAR,Mohalla Hamjapura me Gullabir Mandir ke Pas Swami Vivekanand Vatika me Interlocking ka Nirman Karya,True
17423,Normal/Others,"WS/MP18188/2025-2026/184568-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2),Laying of CC Road from Tulsiram (H) to V.Shankar (H) to V.Bojya Naik (H) at PCM Thanda (V) of Dharur (M),KONDA VISHWESHWAR REDDY,CHELVELLA,,29-Sep-2025,64070.19,WS/MP18188/2025-2026/184568,Normal/Others,64070.19,2025-09-29,TELANGANA,CHELVELLA,KONDA VISHWESHWAR REDDY,Laying of CC Road from Tulsiram (H) to V.Shankar (H) to V.Bojya Naik (H) at PCM Thanda (V) of Dharur (M),False
17424,Normal/Others,"WS/MP18204/2025-2026/178702-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA),Bahraich Nagar Ke Mohalla Raipurraja me Sarvjeet Singh ke Ghar Se Alok Srivastava Ke Ghar Tak Interlocking evm Nali Nirman Karya,ANAND KUMAR,BAHRAICH(SC),Images,15-Jan-2026,149872.98,WS/MP18204/2025-2026/178702,Normal/Others,149872.98,2026-01-15,UTTAR PRADESH,BAHRAICH(SC),ANAND KUMAR,Bahraich Nagar Ke Mohalla Raipurraja me Sarvjeet Singh ke Ghar Se Alok Srivastava Ke Ghar Tak Interlocking evm Nali Nirman Karya,True
17425,Normal/Others,"WS/MP18188/2025-2026/159459-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2),"Laying of CC Road from K. Babaiah (H) to S. Laxmi (H) at Gurudotla (V), Dharur (M)",KONDA VISHWESHWAR REDDY,CHELVELLA,,29-Sep-2025,64070.19,WS/MP18188/2025-2026/159459,Normal/Others,64070.19,2025-09-29,TELANGANA,CHELVELLA,KONDA VISHWESHWAR REDDY,"Laying of CC Road from K. Babaiah (H) to S. Laxmi (H) at Gurudotla (V), Dharur (M)",False
17426,Normal/Others,WS/MP18225/2025-2026/150824-Installing hand pumps,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),mujib Ahamad S o Abdul Hamid Add.- Samsabad Garhi ward 11 ke ghar ke samne hundpump,PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,10-Feb-2026,26028.39,WS/MP18225/2025-2026/150824,Normal/Others,26028.39,2026-02-10,UTTAR PRADESH,KAUSHAMBI(SC),PUSHPENDRA SAROJ,mujib Ahamad S o Abdul Hamid Add.- Samsabad Garhi ward 11 ke ghar ke samne hundpump,True
17427,Normal/Others,WS/MP346/2024-2025/180712-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),MML at Ettymoodu Junction Ward-4 in Madavoor Grama Panchayath,Adv Adoor Prakash,ATTINGAL,Images,29-Sep-2025,124304.88,WS/MP346/2024-2025/180712,Normal/Others,124304.88,2025-09-29,KERALA,ATTINGAL,ADV ADOOR PRAKASH,MML at Ettymoodu Junction Ward-4 in Madavoor Grama Panchayath,True
17428,Normal/Others,WS/MP18225/2025-2026/150827-Installing hand pumps,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),"Ravi Shankar Pal S o Ayodha Prasad Add.- Durga singh ka purwa, bhitara Bihar ke ghar ke samne hundpump",PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,11-Feb-2026,26028.39,WS/MP18225/2025-2026/150827,Normal/Others,26028.39,2026-02-11,UTTAR PRADESH,KAUSHAMBI(SC),PUSHPENDRA SAROJ,"Ravi Shankar Pal S o Ayodha Prasad Add.- Durga singh ka purwa, bhitara Bihar ke ghar ke samne hundpump",True
17429,Normal/Others,"WS/MP588/2025-2026/198731-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,JAMNAGAR(DISTRICT COLLECTOR JAMNAGAR_IDA),For paver block work from main market to Ram Mandir Chora in Bawdidal village of Jamjodhpur taluka,Smt Poonamben Hematbhai Maadam,JAMNAGAR,Images,29-Sep-2025,179119.23,WS/MP588/2025-2026/198731,Normal/Others,179119.23,2025-09-29,GUJARAT,JAMNAGAR,SMT POONAMBEN HEMATBHAI MAADAM,For paver block work from main market to Ram Mandir Chora in Bawdidal village of Jamjodhpur taluka,True
17430,Normal/Others,"WS/MP468/2025-2026/186299-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA),200 mtr CC-Apex and nali construction from poora birdha range chauki towards Sahariya Basti in village Birdha Block Talbehat.,Anurag Sharma,JHANSI,Images,27-Nov-2025,489291.72,WS/MP468/2025-2026/186299,Normal/Others,489291.72,2025-11-27,UTTAR PRADESH,JHANSI,ANURAG SHARMA,200 mtr CC-Apex and nali construction from poora birdha range chauki towards Sahariya Basti in village Birdha Block Talbehat.,True
17431,Normal/Others,WS/MP346/2024-2025/180713-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),MML at Near Madavoor Sree Mahadeva Temple in Madavoor Grama Panchayath,Adv Adoor Prakash,ATTINGAL,Images,29-Sep-2025,124304.88,WS/MP346/2024-2025/180713,Normal/Others,124304.88,2025-09-29,KERALA,ATTINGAL,ADV ADOOR PRAKASH,MML at Near Madavoor Sree Mahadeva Temple in Madavoor Grama Panchayath,True
17432,Normal/Others,WS/MP18225/2025-2026/150828-Installing hand pumps,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Savitri Devi W o Brijlal Add.- Raiyyapur Kunda ke ghar ke samne hundpump,PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,11-Feb-2026,26028.39,WS/MP18225/2025-2026/150828,Normal/Others,26028.39,2026-02-11,UTTAR PRADESH,KAUSHAMBI(SC),PUSHPENDRA SAROJ,Savitri Devi W o Brijlal Add.- Raiyyapur Kunda ke ghar ke samne hundpump,True
17433,Normal/Others,"WS/MP468/2025-2026/186310-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA),100 mtr CC-Apex and nali construction from Jahar Singh house towards Babu Kushwaha house in village Bachhlapur Block Birdha.,Anurag Sharma,JHANSI,Images,08-Jan-2026,244205.32,WS/MP468/2025-2026/186310,Normal/Others,244205.32,2026-01-08,UTTAR PRADESH,JHANSI,ANURAG SHARMA,100 mtr CC-Apex and nali construction from Jahar Singh house towards Babu Kushwaha house in village Bachhlapur Block Birdha.,True
17434,Normal/Others,WS/MP18225/2025-2026/150831-Installing hand pumps,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Shivam Son of Late Lal Ji Add- Bahorikpur Babagaj ke ghar ke samne hundpump,PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,11-Feb-2026,26028.39,WS/MP18225/2025-2026/150831,Normal/Others,26028.39,2026-02-11,UTTAR PRADESH,KAUSHAMBI(SC),PUSHPENDRA SAROJ,Shivam Son of Late Lal Ji Add- Bahorikpur Babagaj ke ghar ke samne hundpump,True
17435,Normal/Others,WS/MP18069/2025-2026/211737-Construction of common work sheds/ common covered sitting area,Himachal Pradesh,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),CO Community tin shed at village Balh Bhuriyan near boudi,RAJEEV BHARDWAJ,KANGRA,,14-May-2026,113868.1,WS/MP18069/2025-2026/211737,Normal/Others,113868.1,2026-05-14,HIMACHAL PRADESH,KANGRA,RAJEEV BHARDWAJ,CO Community tin shed at village Balh Bhuriyan near boudi,False
17436,Normal/Others,WS/MP346/2024-2025/178174-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Installation of MML at near Alamcode Pallithadam Thaykavu in Attingal Muncipality,Adv Adoor Prakash,ATTINGAL,Images,29-Sep-2025,124304.88,WS/MP346/2024-2025/178174,Normal/Others,124304.88,2025-09-29,KERALA,ATTINGAL,ADV ADOOR PRAKASH,Installation of MML at near Alamcode Pallithadam Thaykavu in Attingal Muncipality,True
17437,Normal/Others,WS/MP18010/2025-2026/230000-Lighting of public spaces,Andhra Pradesh,Kakinada(DISTRICT COLLECTOR KAKINADA_IDA),Construction of a new 11 kV power line from the residence of Sri Angara Krupanandam to the residence of Sri Vemagiri Baburao at V.K.Rayapuram,TANGELLA UDAY SRINIVAS,KAKINADA,Images,23-Apr-2026,396210.04,WS/MP18010/2025-2026/230000,Normal/Others,396210.04,2026-04-23,ANDHRA PRADESH,KAKINADA,TANGELLA UDAY SRINIVAS,Construction of a new 11 kV power line from the residence of Sri Angara Krupanandam to the residence of Sri Vemagiri Baburao at V.K.Rayapuram,True
17438,Normal/Others,WS/MP345/2024-2025/135014-Construction of public libraries and reading rooms,Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Construction of Reading room High Range Arts and Sports Club Kulathupuzha GP in Anchal BP,Shri NK Premachandran,KOLLAM,Images,29-Sep-2025,416666.88,WS/MP345/2024-2025/135014,Normal/Others,416666.88,2025-09-29,KERALA,KOLLAM,SHRI NK PREMACHANDRAN,Construction of Reading room High Range Arts and Sports Club Kulathupuzha GP in Anchal BP,True
17439,Normal/Others,WS/MP18225/2025-2026/150829-Installing hand pumps,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Nanhe lal Son of Madhedeen Yadav Add- Budhwapur raiyyapur ke ghar ke samne hundpump,PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,11-Feb-2026,26028.39,WS/MP18225/2025-2026/150829,Normal/Others,26028.39,2026-02-11,UTTAR PRADESH,KAUSHAMBI(SC),PUSHPENDRA SAROJ,Nanhe lal Son of Madhedeen Yadav Add- Budhwapur raiyyapur ke ghar ke samne hundpump,True
17440,Normal/Others,WS/MP632/2024-2025/134100-Lighting of public spaces,Kerala,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),Proving 8 Meter LED Mini Mast Light at Koovakkavu Sree Subhanandasramam Junction in Manimala Grama Panchayat.,Anto Antony,PATHANAMTHITTA,Images,29-Sep-2025,112030.57,WS/MP632/2024-2025/134100,Normal/Others,112030.57,2025-09-29,KERALA,PATHANAMTHITTA,ANTO ANTONY,Proving 8 Meter LED Mini Mast Light at Koovakkavu Sree Subhanandasramam Junction in Manimala Grama Panchayat.,True
17441,Normal/Others,WS/MP18225/2025-2026/150833-Installing hand pumps,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Ramkumar Son ofram aasare Add-kindhauli ke ghar ke samne hundpump,PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,12-Feb-2026,26028.39,WS/MP18225/2025-2026/150833,Normal/Others,26028.39,2026-02-12,UTTAR PRADESH,KAUSHAMBI(SC),PUSHPENDRA SAROJ,Ramkumar Son ofram aasare Add-kindhauli ke ghar ke samne hundpump,True
17442,Normal/Others,WS/MP18225/2025-2026/150834-Installing hand pumps,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Amrit lal Yadav Son of Jagnatth Add- Mehbaan ka purwa Bhaisahana Babaganj ke ghar ke samne hundpump,PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,12-Feb-2026,26028.39,WS/MP18225/2025-2026/150834,Normal/Others,26028.39,2026-02-12,UTTAR PRADESH,KAUSHAMBI(SC),PUSHPENDRA SAROJ,Amrit lal Yadav Son of Jagnatth Add- Mehbaan ka purwa Bhaisahana Babaganj ke ghar ke samne hundpump,True
17443,Normal/Others,WS/MP747/2025-2026/141753-Construction of bus-sheds or bus-stops,Tamil Nadu,VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA),Construction of Bus shelter in Ethirkkottai village at Ettakkapatti Panchayat,Manickam Tagore B,VIRUDHUNAGAR,,29-Sep-2025,383424.71,WS/MP747/2025-2026/141753,Normal/Others,383424.71,2025-09-29,TAMIL NADU,VIRUDHUNAGAR,MANICKAM TAGORE B,Construction of Bus shelter in Ethirkkottai village at Ettakkapatti Panchayat,False
17444,Normal/Others,"WS/MP18188/2025-2026/184565-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2),Laying of CC Road from Hanuman Temple to Rajesh (H) at Tharigopula (V) of Dharur (M),KONDA VISHWESHWAR REDDY,CHELVELLA,,29-Sep-2025,63762.65,WS/MP18188/2025-2026/184565,Normal/Others,63762.65,2025-09-29,TELANGANA,CHELVELLA,KONDA VISHWESHWAR REDDY,Laying of CC Road from Hanuman Temple to Rajesh (H) at Tharigopula (V) of Dharur (M),False
17445,Normal/Others,WS/MP18014/2025-2026/186178-Providing supply pipelines for drinking water,Andhra Pradesh,Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA),Providing Pipeline to  Nagayagunta Village and Grama Panchyat of Buchireddipalem Mandal,PRABHAKAR REDDY VEMIREDDY,NELLORE(SC),Images,29-Sep-2025,127990.2,WS/MP18014/2025-2026/186178,Normal/Others,127990.2,2025-09-29,ANDHRA PRADESH,NELLORE(SC),PRABHAKAR REDDY VEMIREDDY,Providing Pipeline to  Nagayagunta Village and Grama Panchyat of Buchireddipalem Mandal,True
17446,Normal/Others,"WS/MP18160/2025-2026/177063-Purchase of smart boards, visual display units and projectors",Rajasthan,Balotra(DISTRICT COLLECTOR Balotra_IDA),4. SMART CLASS BOARD WITH INVERTER IN GSSS DOODHWA,UMMEDA RAM BENIWAL,BARMER,Images,24-Nov-2025,75859.1,WS/MP18160/2025-2026/177063,Normal/Others,75859.1,2025-11-24,RAJASTHAN,BARMER,UMMEDA RAM BENIWAL,4. SMART CLASS BOARD WITH INVERTER IN GSSS DOODHWA,True
17447,Normal/Others,WS/MP346/2024-2025/182725-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),MML AT CHAMAVILAKAM NEAR PANANGADE LUTHERAN CHURCH  AT VILAVOORKAL GRAMA PANCHAYATH,Adv Adoor Prakash,ATTINGAL,Images,29-Sep-2025,124304.88,WS/MP346/2024-2025/182725,Normal/Others,124304.88,2025-09-29,KERALA,ATTINGAL,ADV ADOOR PRAKASH,MML AT CHAMAVILAKAM NEAR PANANGADE LUTHERAN CHURCH  AT VILAVOORKAL GRAMA PANCHAYATH,True
17448,Normal/Others,"WS/MP18160/2025-2026/177060-Purchase of smart boards, visual display units and projectors",Rajasthan,Balotra(DISTRICT COLLECTOR Balotra_IDA),1. SMART CLASS BOARD WITH INVERTER IN GSSS MOOLJI KI DHANI,UMMEDA RAM BENIWAL,BARMER,Images,24-Nov-2025,75859.1,WS/MP18160/2025-2026/177060,Normal/Others,75859.1,2025-11-24,RAJASTHAN,BARMER,UMMEDA RAM BENIWAL,1. SMART CLASS BOARD WITH INVERTER IN GSSS MOOLJI KI DHANI,True
17449,Normal/Others,"WS/MP18160/2025-2026/177061-Purchase of smart boards, visual display units and projectors",Rajasthan,Balotra(DISTRICT COLLECTOR Balotra_IDA),2. SMART CLASS BOARD WITH INVERTER IN GSSS KHATTOO,UMMEDA RAM BENIWAL,BARMER,Images,24-Nov-2025,75859.1,WS/MP18160/2025-2026/177061,Normal/Others,75859.1,2025-11-24,RAJASTHAN,BARMER,UMMEDA RAM BENIWAL,2. SMART CLASS BOARD WITH INVERTER IN GSSS KHATTOO,True
17450,Normal/Others,WS/MP346/2024-2025/182722-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),MML NEAR NEAR SREE KANDAN SHASTHA TEMPLE AT VILAVOORKAL GRAMA PANCHAYATH,Adv Adoor Prakash,ATTINGAL,Images,29-Sep-2025,124304.88,WS/MP346/2024-2025/182722,Normal/Others,124304.88,2025-09-29,KERALA,ATTINGAL,ADV ADOOR PRAKASH,MML NEAR NEAR SREE KANDAN SHASTHA TEMPLE AT VILAVOORKAL GRAMA PANCHAYATH,True
17451,Normal/Others,"WS/MP18160/2025-2026/177062-Purchase of smart boards, visual display units and projectors",Rajasthan,Balotra(DISTRICT COLLECTOR Balotra_IDA),3. SMART CLASS BOARD WITH INVERTER IN GSSS DOODHWA MALINATH,UMMEDA RAM BENIWAL,BARMER,Images,24-Nov-2025,75859.1,WS/MP18160/2025-2026/177062,Normal/Others,75859.1,2025-11-24,RAJASTHAN,BARMER,UMMEDA RAM BENIWAL,3. SMART CLASS BOARD WITH INVERTER IN GSSS DOODHWA MALINATH,True
17452,Normal/Others,"WS/MP18160/2025-2026/177064-Purchase of smart boards, visual display units and projectors",Rajasthan,Balotra(DISTRICT COLLECTOR Balotra_IDA),5. SMART CLASS BOARD WITH INVERTER IN GSSS BHAKHRI KHERA,UMMEDA RAM BENIWAL,BARMER,Images,24-Nov-2025,75859.1,WS/MP18160/2025-2026/177064,Normal/Others,75859.1,2025-11-24,RAJASTHAN,BARMER,UMMEDA RAM BENIWAL,5. SMART CLASS BOARD WITH INVERTER IN GSSS BHAKHRI KHERA,True
17453,Normal/Others,WS/MP18014/2025-2026/186177-Installing hand pumps,Andhra Pradesh,Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA),Providing New Source and Pumpset to Nagayagunta Village and Grama Panchyat of Buchireddipalem Mandal,PRABHAKAR REDDY VEMIREDDY,NELLORE(SC),Images,29-Sep-2025,153588.54,WS/MP18014/2025-2026/186177,Normal/Others,153588.54,2025-09-29,ANDHRA PRADESH,NELLORE(SC),PRABHAKAR REDDY VEMIREDDY,Providing New Source and Pumpset to Nagayagunta Village and Grama Panchyat of Buchireddipalem Mandal,True
